timestamp,arbitration_id,data_field,attack
1672531200.0,1E5,460196E001FE6701,0
1672531200.000023,1E9,0010000C00580000,0
1672531200.003365,0F9,01B34003167D33FA,0
1672531200.003422,2F9,9301000000,0
1672531200.00452,199,CFFF0FFFEFFE00FF,0
1672531200.004539,348,0340032F,0
1672531200.004546,34A,033E032E,0
1672531200.004552,0F1,28030040,0
1672531200.004557,1E1,00FE120040,0
1672531200.006689,0C1,0167DAEF021E890A,0
1672531200.007771,0C5,0012E6D602C5862B,0
1672531200.00779,1E5,46018E8001FE7201,0
1672531200.009916,0C9,801EC31C364008,0
1672531200.009933,191,0757075707581F1F,0
1672531200.014196,0F1,34030040,0
1672531200.016333,0C1,1169F3B51221AEDA,0
1672531200.016343,0F9,01B34003167D33FA,0
1672531200.016349,0C5,1014073812C7A733,0
1672531200.016355,199,0FFF0FFFF00100FF,0
1672531200.01636,184,000300000000,0
1672531200.017426,19D,80003FFE0019BF5D,0
1672531200.017436,1C7,08B8F74500003F,0
1672531200.017441,1F5,0112000400000100,0
1672531200.017446,1CD,0000000000,0
1672531200.018512,1E5,460188A001FE7701,0
1672531200.018522,1E9,000F000C00560000,0
1672531200.018529,334,0000,0
1672531200.02277,0C9,801EBC13364008,0
1672531200.022782,191,0757075707581F1F,0
1672531200.022788,1A1,0000400000003F,0
1672531200.022792,1C3,0757077F00001F00,0
1672531200.022797,2C3,083606A006FD,0
1672531200.024923,0C1,216C18D52224D495,0
1672531200.024932,0F1,00030040,0
1672531200.024937,0C5,201737D122C9C818,0
1672531200.026002,1E5,460188C001FE7601,0
1672531200.027071,12A,47000000507B3FFF,0
1672531200.0292,0F9,01B44003157D3BFA,0
1672531200.029209,199,4FFF0FFFF00000FF,0
1672531200.029216,134,00001000,0
1672531200.030282,1F1,AE0E00000800007A,0
1672531200.032411,1F3,0000,0
1672531200.03242,3C9,0766000000000000,0
1672531200.033487,0C1,316F3DDC3227FA4D,0
1672531200.034556,0C5,3019581F32CBE8E8,0
1672531200.034565,184,000000000000,0
1672531200.034573,1C7,08B8374800003F,0
1672531200.034579,0C9,801EC416364008,0
1672531200.034584,1CD,0000000000,0
1672531200.035649,0F1,1C030040,0
1672531200.035659,191,0757075707571F1F,0
