timestamp,arbitration_id,data_field,attack
1672531200.0,156,0080000000000014,0
1672531200.003094,152,B18400000000008C,0
1672531200.00314,376,FA,0
1672531200.02018,156,0080000000000014,0
1672531200.0202239,282,FE3300FEFE002403,0
1672531200.023083,152,B99400000000008C,0
1672531200.040173,156,0080000000000014,0
1672531200.043354,152,B9A400000000008C,0
1672531200.053253,376,FA,0
1672531200.060284,156,0080000000000014,0
1672531200.063078,152,B1B400000000008C,0
1672531200.070318,282,FE4300FEFE002403,0
1672531200.0802028,156,0080000000000014,0
1672531200.0802488,3D1,FF1F0000FD000000,0
1672531200.0833259,152,B9C400000000008C,0
1672531200.099964,156,0080000000000014,0
1672531200.103251,152,B1D400000000008C,0
1672531200.103294,376,FA,0
1672531200.120208,156,0080000000000014,0
1672531200.1202528,282,FE5300FEFE002403,0
1672531200.1203198,6D0,0000000000000000,0
1672531200.123287,152,B1E400000000008C,0
1672531200.140207,156,0080000000000014,0
1672531200.143317,152,B9F400000000008C,0
1672531200.153209,376,FA,0
1672531200.1605558,156,0080000000000014,0
1672531200.163015,152,B90400000000008C,0
1672531200.170199,282,FE6300FEFE002403,0
1672531200.179967,156,0080000000000014,0
1672531200.1801,3D1,FF1F0000FD000000,0
1672531200.183107,152,B11400000000008C,0
1672531200.200244,156,0080000000000014,0
1672531200.203333,152,B12400000000008C,0
1672531200.203378,376,FA,0
1672531200.2202458,156,0080000000000014,0
1672531200.2202919,282,FE7300FEFE002403,0
1672531200.2232819,152,B93400000000008C,0
1672531200.240062,156,0080000000000014,0
1672531200.243314,152,B14400000000008C,0
1672531200.252828,376,FA,0
1672531200.260499,156,0080000000000014,0
1672531200.2611868,6CF,0000000000000000,0
1672531200.263149,152,B95400000000008C,0
1672531200.270391,282,FE8300FEFE002403,0
1672531200.280165,156,0080000000000014,0
1672531200.2801878,3D1,FF1F0000FD000000,0
1672531200.282943,152,B96400000000008C,0
1672531200.289914,6D1,CCFB080000000000,0
1672531200.293155,378,C100000000000000,0
1672531200.2999458,156,0080000000000014,0
1672531200.302985,152,B17400000000008C,0
1672531200.3030179,376,FA,0
1672531200.3199499,156,0080000000000014,0
1672531200.3201249,282,FE9300FEFE002403,0
1672531200.320442,6D0,0000000000000000,0
1672531200.3231978,152,B18400000000008C,0
1672531200.3232338,375,1000008900000180,0
